Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1591954635007,12/06/2020 09:37:15,1591954635158,1,12/06/2020 10:37:15,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x774,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1591954640461,12/06/2020 09:37:20,1591954640353,1,12/06/2020 10:37:20,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x774,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,1,1,1,check,script,force_advance,5166.286,,,,0,1,0,,,,,,fullscreen_check,,
3,1591954640775,12/06/2020 09:37:20,1591954640961,1,12/06/2020 10:37:20,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,2,1,1,Screen 1,fixation,fixation,641.8099999999995,,,,0,1,0,,,,,,fixation,,
4,1591954644196,12/06/2020 09:37:24,1591954644035,1,12/06/2020 10:37:24,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,7,1,1,OldNew,old,response_button_image,2996.050000016112,,old.png,1,0,1,0,,,,,1,filler,col_photo_donkey3.png,new.png
5,1591954647072,12/06/2020 09:37:27,1591954647267,1,12/06/2020 10:37:27,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,7,1,2,RFG,Zone1,response_button_image,2916.895000002114,,familiarity.png,1,0,1,0,,,,,1,filler,col_photo_donkey3.png,new.png
6,1591954647634,12/06/2020 09:37:27,1591954647816,1,12/06/2020 10:37:27,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,7,1,3,Fixation,fixation,fixation,499.9340000000011,,,,0,1,0,,,,,1,filler,col_photo_donkey3.png,new.png
7,1591954650454,12/06/2020 09:37:30,1591954650610,1,12/06/2020 10:37:30,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,10,2,1,OldNew,new,response_button_image,2602.1550000004936,,new.png,1,1,0,0,,,,,1,filler,word_dress.png,new.png
8,1591954651033,12/06/2020 09:37:31,1591954651200,1,12/06/2020 10:37:31,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,10,2,3,Fixation,fixation,fixation,499.84400000000096,,,,0,1,0,,,,,1,filler,word_dress.png,new.png
9,1591954652955,12/06/2020 09:37:32,1591954653138,1,12/06/2020 10:37:33,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,5,3,1,OldNew,old,response_button_image,1806.7250000021886,,old.png,1,0,1,0,,,,,1,filler,col_line_turtle.png,new.png
10,1591954654315,12/06/2020 09:37:34,1591954654381,1,12/06/2020 10:37:34,10169,127,task-q6iu,,5573838,5e4e7d733af5db000a6a41a8,1555648,,complete,,5ee349ab793065000af85be4,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1368x912,1368x912,Test_Checkpoint,L-1. RFG_A_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,test_A_col_spreadsheet,5,3,2,RFG,Zone1,response_button_image,1157.2649999870919,,familiarity.png,1,0,1,0,,,,,1,filler,col_line_turtle.png,new.png
